date,code,open,high,low,close,volume,amount
2020-07-02,600132,72.65,73.51,70.7,71.6,37589,270508000
2020-07-03,600132,71.57,71.57,68.75,69.93,37000,258458016
2020-07-06,600132,70,71.46,67.7,70.2,43489,305562048
2020-07-07,600132,70.17,71.88,68.68,70.41,50058,353815008
2020-07-08,600132,69.5,70.76,69.46,70.5,37507,263310912
2020-07-09,600132,69.96,71.66,69.5,70.2,51204,361035840
2020-07-10,600132,70.6,73.31,69.95,70.29,66717,476118080
2020-07-13,600132,69.5,72.49,68.9,72.13,48049,341047904
2020-07-14,600132,72.16,73.72,71.13,72.45,41245,298536032
2020-07-15,600132,72.52,75.35,72.01,74.4,44764,332279168
2020-07-16,600132,73.01,73.5,67.87,68,59966,418428352
2020-07-17,600132,69.1,70.1,68,69.13,25162,173754384
2020-07-20,600132,69.75,70,66.21,68.52,34266,232496720
2020-07-21,600132,67.05,71.35,66.45,69.9,26304,182085216
2020-07-22,600132,68.79,72.48,68.55,71.5,28517,203281600
2020-07-23,600132,71.51,73.5,70.65,71.9,29615,213465968
2020-07-24,600132,71.61,72.8,68,69.6,33684,238097824
2020-07-27,600132,71,71.48,69,69.6,20691,144645760
2020-07-28,600132,69.83,73.46,69.83,71.77,29195,208949072
2020-07-29,600132,71.77,72.58,70.72,72.33,22245,159618416
2020-07-30,600132,72.34,73.88,71.48,72.7,21396,155807760
2020-07-31,600132,72.7,74.5,71.77,72.82,30741,225051440
2020-08-03,600132,72.94,73.49,71,72.37,32557,233941328
2020-08-04,600132,72.37,74.2,71.3,71.9,23650,171480704
2020-08-05,600132,71.61,73.97,70.91,73.5,23006,167585472
2020-08-06,600132,73.27,73.51,70.19,71.51,22428,160115824
2020-08-07,600132,71.25,72,68.9,69.96,19876,139401600
2020-08-10,600132,69.66,70.9,68.5,68.83,21751,150416400
2020-08-11,600132,69.38,70.16,68.28,68.31,17142,118902184
2020-08-12,600132,68.29,68.78,65.68,67.8,25581,171602800
2020-08-13,600132,67.58,69.99,67.58,67.8,20259,138406112
2020-08-14,600132,67.75,69.58,67.41,69.45,26212,180560624
2020-08-17,600132,73.5,76.4,73.5,76.4,32101,242942848
2020-08-18,600132,76.4,84.04,76.4,83.3,92132,755110208
2020-08-19,600132,83.67,84.5,80,82,66481,549357120
2020-08-20,600132,83.54,83.87,80.11,81,44973,366275360
2020-08-21,600132,81.49,84.9,81.25,84.34,42193,352692320
2020-08-24,600132,84.17,85.55,82.66,84.34,35978,303369280
2020-08-25,600132,83,89.29,82.66,85.6,45383,391502080
2020-08-26,600132,86,89.88,85.22,88.58,39850,350041696
2020-08-27,600132,87.17,88.95,85.88,88.55,28908,252667936
2020-08-28,600132,87.87,91.19,86,90.14,30083,269249984
2020-08-31,600132,90.15,92.51,89.23,91.05,31750,290274624
2020-09-01,600132,91.8,92.19,88.29,91.78,30839,278821280
2020-09-02,600132,92,93.38,90.29,92.46,25686,236671296
2020-09-03,600132,92.56,94.81,90.15,91.29,33351,307768896
2020-09-04,600132,90.29,90.99,86.93,87.87,42852,378411552
2020-09-07,600132,88.04,88.9,84.3,85,45117,389870432
2020-09-08,600132,86.52,87.18,83.6,85.62,37408,319058592
2020-09-09,600132,86,86.82,82.68,83.29,33063,277391328
2020-09-10,600132,84.79,87.88,83.17,86.01,38911,335085056
2020-09-11,600132,85.69,90.29,85.22,89.3,29041,255094240
2020-09-14,600132,96,98.23,94.08,98.23,20842,201979280
2020-09-15,600132,99,101.88,96.88,98.55,81200,805967808
2020-09-16,600132,99.19,101.79,99.19,100.48,38815,389535360
2020-09-17,600132,97.46,101.29,97.14,99.89,42805,424062336
2020-09-18,600132,97.01,101.55,96.66,100.57,30694,303819392
2020-09-21,600132,100.9,100.9,97.83,100.51,21644,215990064
2020-09-22,600132,99.31,101.49,98.59,99.54,19535,195506448
2020-09-23,600132,100.5,104.08,99.26,102.5,31639,322576704
2020-09-24,600132,97.64,104.47,97.64,102.7,23836,243279600
2020-09-25,600132,103.9,105.45,101.1,104.21,23650,245206672
2020-09-28,600132,105,106.6,102,104.33,25483,265635360
2020-09-29,600132,105.28,105.28,101,104.09,19303,200155856
2020-09-30,600132,105,105.5,102.53,103.19,19600,203315072
2020-10-09,600132,102.15,103.8,99.27,102.86,46550,474493728
2020-10-12,600132,103.06,107.58,102.06,105.8,32835,346066688
2020-10-13,600132,106.81,108.59,105.38,106,19607,208951888
2020-10-14,600132,105.18,107.9,105.18,106.92,23516,250685216
2020-10-15,600132,108,108.23,105.09,106.95,17911,191712016
2020-10-16,600132,108.4,109.66,104.99,106.51,18729,199924576
2020-10-19,600132,107,107.3,103,103,19183,200816096
2020-10-20,600132,104.71,107,103.06,106.91,20743,219051792
2020-10-21,600132,105.52,106.41,103.2,103.92,18759,196034224
2020-10-22,600132,103.79,104.79,99.88,103.35,22081,226961536
2020-10-23,600132,103.35,106.3,99.26,99.87,21980,225279056
2020-10-26,600132,97.44,103.94,96,102.06,26828,269017152
2020-10-27,600132,102.06,104,101.72,103.69,19942,205540032
2020-10-28,600132,103.95,107.77,103.33,105.89,28839,305925920
2020-10-29,600132,105.81,110,103.9,106.69,22868,244647008
2020-10-30,600132,109.53,109.85,105.09,106.92,17863,190788112
2020-11-02,600132,106.62,108.5,105.49,105.92,20926,223118352
2020-11-03,600132,107,107.77,103.6,104.68,20136,211363600
2020-11-04,600132,104.68,107,102.99,106.17,22663,238538096
2020-11-05,600132,108.19,109.5,105.8,108.64,21365,230777056
2020-11-06,600132,109.98,109.98,104.8,107,19806,211030880
2020-11-09,600132,109,109.44,104.01,105.58,31650,336069152
2020-11-10,600132,104.53,109.4,103.62,107.05,34035,363040800
2020-11-11,600132,107.05,108.83,103.98,104.51,23575,250735664
2020-11-12,600132,106.03,107,103.16,106.53,28200,297957728
2020-11-13,600132,106.31,106.85,103.51,103.86,20859,218829744
2020-11-16,600132,105,105.14,101.75,103.2,21516,221759216
2020-11-17,600132,104.48,104.48,99.47,100.99,21016,212779600
2020-11-18,600132,99.93,102.28,99.01,101.62,33252,336830976
2020-11-19,600132,101.39,105.1,99.5,104.36,37448,386497696
2020-11-20,600132,104.2,109.5,102.35,108.3,34846,373382784
2020-11-23,600132,109.92,111.6,106.92,109.23,24686,268843008
2020-11-24,600132,109.5,114.87,107.12,113.2,29188,326340896
2020-11-25,600132,113.34,114,107,109.39,37669,412286464
2020-11-26,600132,111.45,112,104.4,108.22,26690,285441792
2020-11-27,600132,109.1,109.86,106.2,108.3,13469,146024784
2020-11-30,600132,108.63,108.63,102.5,105,30252,315658016
2020-12-01,600132,104,105.55,102.32,105.24,23271,243511984
2020-12-02,600132,107.05,107.05,103.57,104.39,17899,187248576
2020-12-03,600132,104.4,106.6,103.06,105.92,18104,190285664
2020-12-04,600132,105.03,116.51,104.6,116.51,37340,427093824
2020-12-07,600132,116.38,118.8,115.5,116.8,35689,417188544
2020-12-08,600132,116.8,118.11,115.49,117.03,17894,209159744
2020-12-09,600132,117.94,120.7,116.8,119.35,24292,288928448
2020-12-10,600132,118.35,119.97,116.02,117.74,21444,253218400
2020-12-11,600132,118.88,121,117.11,119.28,21129,251515296
2020-12-14,600132,122.54,122.95,117.2,122,26818,323298944
2020-12-15,600132,120.44,123,119.5,120.26,18616,225652640
2020-12-16,600132,120.36,123,118.26,119.82,22007,264416016
2020-12-17,600132,119.38,121.54,118.82,119.99,24486,293958944
2020-12-18,600132,119.01,120.66,116.35,116.99,24009,283643200
2020-12-21,600132,117,118.2,114.51,115.41,26784,311175296
2020-12-22,600132,114.98,119.44,114.88,116.57,25124,294232800
2020-12-23,600132,117.03,120.57,115.87,117.82,37717,445230080
2020-12-24,600132,116.82,116.82,113,113.58,26530,302986592
2020-12-25,600132,113.58,115.99,111,114.19,21521,244495744
2020-12-28,600132,113.65,117.77,113.65,115.4,27368,316629408
2020-12-29,600132,115.4,118.1,114.31,115.36,19734,228408528
2020-12-30,600132,114.36,117.5,114,117.37,23010,268468352
2020-12-31,600132,116.37,119.86,116.37,118.99,22916,271207360
